Grapheme	IPA	FREQUENCY	CODEPOINTS
d̥	d̥	3	U+0064 U+0325
y̞ː	y̞ː	2	U+0079 U+031e U+02d0
ŭʃ	u ʃ	2	U+016d U+0283
ɑ́ː	ɑː	2	U+0251 U+0301 U+02d0
œ͉͜o	œo	2	U+0153 U+0349 U+035c U+006f
óːs	oː s	2	U+00f3 U+02d0 U+0073
ʏ̆́	ʏ	2	U+028f U+0306 U+0301
ɒ̝̃͜ẽ	ɒe ∼	2	U+0252 U+031d U+0303 U+035c U+1ebd
ŏ̞ʃ	o ʃ	2	U+014f U+031e U+0283
a̠͜o̝	ao	2	U+0061 U+0320 U+035c U+006f U+031d
á̠͜ɔ	aɔ	2	U+00e1 U+0320 U+035c U+0254
ɛ̃́ː	ɛː ∼	2	U+025b U+0303 U+0301 U+02d0
é̞	e	2	U+00e9 U+031e
dz	dz		
a̠͉͜o	ao	2	U+0061 U+0320 U+0349 U+035c U+006f
n͉s	n s	2	U+006e U+0349 U+0073
x	x	2	U+0078
th͉	tʰ	2	U+0074 U+0068 U+0349
õ̞͉	o ∼	2	U+00f5 U+031e U+0349
r̠w	r w	2	U+0072 U+0320 U+0077
·s	+ s	2	U+00b7 U+0073
ʟː	lː	2	U+029f U+02d0
ks	k s	2	U+006b U+0073
ɒ̝͜o͉	ɒo	2	U+0252 U+031d U+035c U+006f U+0349
ó̞̇	o	2	U+00f3 U+031e U+0307
mː	mː	2	U+006d U+02d0
ắ	a	2	U+1eaf
ɛ͉͜e	ɛe	2	U+025b U+0349 U+035c U+0065
a̠͜o̞ː	aoː	2	U+0061 U+0320 U+035c U+006f U+031e U+02d0
ĕ̞ʃ̟	e ʃ̟	2	U+0115 U+031e U+0283 U+031f
ʊ͉	ʊ	2	U+028a U+0349
ăʒ	a ʒ	2	U+0103 U+0292
ẽ̝	e ∼	2	U+1ebd U+031d
á̠͜o	ao	2	U+00e1 U+0320 U+035c U+006f
ɒ̝͉̃	ɒ	2	U+0252 U+031d U+0349 U+0303
a̠͉͜ɛː	aɛː	2	U+0061 U+0320 U+0349 U+035c U+025b U+02d0
ỹ	y ∼	2	U+1ef9
r͉s	r s	2	U+0072 U+0349 U+0073
r͉ʃ	r ʃ	2	U+0072 U+0349 U+0283
fw͉	f w	2	U+0066 U+0077 U+0349
á̠͜o͉	ao	1	U+00e1 U+0320 U+035c U+006f U+0349
ɡ͉͉ʒ	g ʒ	1	U+0261 U+0349 U+0349 U+0292
ǽ	æ	1	U+01fd
ăʃ̟	a ʃ̟	1	U+0103 U+0283 U+031f
t͉ʃ	tʃ	1	U+0074 U+0349 U+0283
ó̞̄	o	1	U+00f3 U+031e U+0304
ɪ́	ɪ	1	U+026a U+0301
ʊ͉́	ʊ	1	U+028a U+0349 U+0301
u͜a̠ː	ua	1	U+0075 U+035c U+0061 U+0320 U+02d0
óːʃ	oː ʃ	1	U+00f3 U+02d0 U+0283
ŏ̞s	o s	1	U+014f U+031e U+0073
ɒ̝͉͜ɔː	ɒɔː	1	U+0252 U+031d U+0349 U+035c U+0254 U+02d0
ǿ̞	ø	1	U+01ff U+031e
i͜ĕ̞	i e	1	U+0069 U+035c U+0115 U+031e
ò̝͉͜o̝	o	1	U+00f2 U+031d U+0349 U+035c U+006f U+031d
ɪ̈́	ɪ	1	U+026a U+0308 U+0301
ŋ͉s	ŋ s	1	U+014b U+0349 U+0073
úː̀	uː	1	U+00fa U+02d0 U+0300
æ͜œː	æœː	1	U+00e6 U+035c U+0153 U+02d0
éːʃ	eː ʃ	1	U+00e9 U+02d0 U+0283
é̝ː	eː	1	U+00e9 U+031d U+02d0
ʏ́	ʏ	1	U+028f U+0301
n̠	n	1	U+006e U+0320
ŭ͜ɑ̃	u a ∼	1	U+016d U+035c U+0251 U+0303
ă̠͜o͉	ao	1	U+0103 U+0320 U+035c U+006f U+0349
i͜ă	ia	1	U+0069 U+035c U+0103
d͉ʒ	d͉ʒ	1	U+0064 U+0349 U+0292
s͉	s͉	1	U+0073 U+0349
ĭs	is	1	U+012d U+0073
y͜ə	yɛ	1	U+0079 U+035c U+0259
θw	θ w	1	U+03b8 U+0077
ns	n s	1	U+006e U+0073
ŋ͉sw	ŋ s w	1	U+014b U+0349 U+0073 U+0077
ls	l s	1	U+006c U+0073
i̅	ɪ	1	U+0069 U+0305
ɑ̝́	ɑ	1	U+0251 U+031d U+0301
éːs	eː s	1	U+00e9 U+02d0 U+0073
i͜ɛ̈	iɛ	1	U+0069 U+035c U+025b U+0308
o̝͜a̠	oa	1	U+006f U+031d U+035c U+0061 U+0320
ʃ͜a̠͉	ʃ a	1	U+0283 U+035c U+0061 U+0320 U+0349
ɑ̆́	a	1	U+0251 U+0306 U+0301
ɪ̈̆́	ɪ	1	U+026a U+0308 U+0306 U+0301
ɐ̆́	ɐ	1	U+0250 U+0306 U+0301
tːs	tsː	1	U+0074 U+02d0 U+0073
ø̞̆́	ø	1	U+00f8 U+031e U+0306 U+0301
æ͋	æ	1	U+00e6 U+034b
ĕ̝ʃ	e ʃ	1	U+0115 U+031d U+0283
ŏ̞͉	o	1	U+014f U+031e U+0349
ĕ̞ʃw	e ʃ w	1	U+0115 U+031e U+0283 U+0077
ǿ̞ː	ø	1	U+01ff U+031e U+02d0
a̠ː͜ò̝͉	aːo	1	U+0061 U+0320 U+02d0 U+035c U+00f2 U+031d U+0349
a̠͉͜o̞ː	aoː	1	U+0061 U+0320 U+0349 U+035c U+006f U+031e U+02d0
ɛ̈ː	ɛː	1	U+025b U+0308 U+02d0
ă̠ʃ̟	a ʃ̟	1	U+0103 U+0320 U+0283 U+031f
ắ̠͜ɛ	aɛ	1	U+1eaf U+0320 U+035c U+025b
a̠͉͜e̞	ae	1	U+0061 U+0320 U+0349 U+035c U+0065 U+031e
ʏ́ː	ʏː	1	U+028f U+0301 U+02d0
ẽː	eː ∼	1	U+1ebd U+02d0
ĕ̞̇	e	1	U+0115 U+031e U+0307
ŏ̞́́	o	1	U+014f U+031e U+0301 U+0301
ʉ́	ʉ	1	U+0289 U+0301
o̞͉ː	o̞͉ː	1	U+006f U+031e U+0349 U+02d0
ŏ̞́	o	1	U+014f U+031e U+0301
ø̞͉	œ	1	U+00f8 U+031e U+0349
ĕs	e s	1	U+0115 U+0073
a̠͜é	ae	1	U+0061 U+0320 U+035c U+00e9
ĕ͜i͉	ei	1	U+0115 U+035c U+0069 U+0349
a̠͜æː	aæː	1	U+0061 U+0320 U+035c U+00e6 U+02d0
a̠͜é̞ː	aeː	1	U+0061 U+0320 U+035c U+00e9 U+031e U+02d0
a̠͜éː	aeː	1	U+0061 U+0320 U+035c U+00e9 U+02d0
á̠͜ɔː	aɔː	1	U+00e1 U+0320 U+035c U+0254 U+02d0
k͉s͉	k s͉	1	U+006b U+0349 U+0073 U+0349
tʃɕ	tʃ ɕ	1	U+0074 U+0283 U+0255
+	+		
a̠͜æ	aæ	1	U+0061 U+0320 U+035c U+00e6
ă̠ʒ̟	a ʒ̟	1	U+0103 U+0320 U+0292 U+031f
ó	o	1	U+00f3
ó̞	o	1	U+00f3 U+031e
ø̃	ø ∼	1	U+00f8 U+0303
i͜ə͉	iə	1	U+0069 U+035c U+0259 U+0349
ǿ̞w͉	ø w	1	U+01ff U+031e U+0077 U+0349
ĭ͉	i	1	U+012d U+0349
ó̝	o	1	U+00f3 U+031d
t̠ʃ̠	tʃ̠	1	U+0074 U+0320 U+0283 U+0320
ǿːs	øː s	1	U+01ff U+02d0 U+0073
dːʒ	dʒː	1	U+0064 U+02d0 U+0292
zw	z w	1	U+007a U+0077
dʒw	dʒ w	1	U+0064 U+0292 U+0077
e͋	e	1	U+0065 U+034b
ŭʒ	u ʒ	1	U+016d U+0292
ð̱	ð	1	U+00f0 U+0331
ã̠́ː	aː ∼	1	U+00e3 U+0320 U+0301 U+02d0
ó̞̃	o	1	U+00f3 U+031e U+0303
ắ̠w	a w	1	U+1eaf U+0320 U+0077
ắw	a w	1	U+1eaf U+0077
ʉ͉	ʉ͉	1	U+0289 U+0349
ɔː͜o͉	ɔːo	1	U+0254 U+02d0 U+035c U+006f U+0349
a̠͜a̠ː	aː	1	U+0061 U+0320 U+035c U+0061 U+0320 U+02d0
é̝	e	1	U+00e9 U+031d
_̱	+	1	U+005f U+0331
ă̠͜e̞͉	ae	1	U+0103 U+0320 U+035c U+0065 U+031e U+0349
a̠͜u	au	1	U+0061 U+0320 U+035c U+0075
ŏw	o w	1	U+014f U+0077
é̞ː	e	1	U+00e9 U+031e U+02d0
ʊ̃́	ʊ ∼	1	U+028a U+0303 U+0301
ɛ͉̆	ɛ	1	U+025b U+0349 U+0306
i͜ə	iə	1	U+0069 U+035c U+0259
a̠͜o̝͉	ao	1	U+0061 U+0320 U+035c U+006f U+031d U+0349
ò̝͉̃	o	1	U+00f2 U+031d U+0349 U+0303
y̆́͜ɛ̆	yɛ	1	U+0079 U+0306 U+0301 U+035c U+025b U+0306
ph͉w	pʰ w	1	U+0070 U+0068 U+0349 U+0077
ɔ̆͜o͉	ɔo͉	1	U+0254 U+0306 U+035c U+006f U+0349
y͜á̠	ya	1	U+0079 U+035c U+00e1 U+0320
a̠͜e̞ː	aeː	1	U+0061 U+0320 U+035c U+0065 U+031e U+02d0
dʲʒ̟	dʒ̟	1	U+0064 U+02b2 U+0292 U+031f
ĭʒ̟	i ʒ̟	1	U+012d U+0292 U+031f
z̥	z	1	U+007a U+0325
d̥ʒ̥	dʒ̥	1	U+0064 U+0325 U+0292 U+0325
ă̠w͉	a w	1	U+0103 U+0320 U+0077 U+0349
ə͉͜o	əo	1	U+0259 U+0349 U+035c U+006f
ẽ́	e ∼	1	U+1ebd U+0301
ŏ̞ʒ	o ʒ	1	U+014f U+031e U+0292
ɡ͉͉ʃ	g ʃ	1	U+0261 U+0349 U+0349 U+0283
a̠͜e̝	ae	1	U+0061 U+0320 U+035c U+0065 U+031d
l̠	l	1	U+006c U+0320
ɛ̃͜ĩ͉	ɛi ∼	1	U+025b U+0303 U+035c U+0129 U+0349
ə͉͜e	əe	1	U+0259 U+0349 U+035c U+0065
ʀʃ	ʀ ʃ	1	U+0280 U+0283
ɛ̆ɛ̆	ɛ	1	U+025b U+0306 U+025b U+0306
œ͉	œ	1	U+0153 U+0349
ã̠͜ẽ̞͉	ae ∼	1	U+00e3 U+0320 U+035c U+1ebd U+031e U+0349
y͜ă	ya	1	U+0079 U+035c U+0103
u͜ă̠	ua	1	U+0075 U+035c U+0103 U+0320
ắ̠s	a s	1	U+1eaf U+0320 U+0073
r̠	r	1	U+0072 U+0320
ɡw͉	g w	1	U+0261 U+0077 U+0349
ʀw	r w	1	U+0280 U+0077
a̠͜ʊ	aʊ	1	U+0061 U+0320 U+035c U+028a
œ́	œ	1	U+0153 U+0301
ĕ̝s	e s	1	U+0115 U+031d U+0073
l+prɔ͜o+̱	l + p r ɔo		
